document_id,clean_text,sentiment
1,era burgeon electr vehicl ev popular understand pattern ev user behavior imper paper examin trend household charg session time durat energi consumpt analyz realworld residenti charg data leverag inform collect session novel framework introduc effici realtim predict import charg characterist util histor data userspecif featur machin learn model train predict connect durat charg durat charg demand time next session model enhanc understand ev user behavior provid practic tool optim ev charg infrastructur effect manag charg demand transport sector becom increasingli electrifi work aim empow stakehold insight reliabl model enabl anticip local demand contribut sustain integr electr vehicl grid,Positive
2,background medit app surg popular recent year increas number individu turn app cope stress includ covid pandem medit app commonli use mental health app depress anxieti howev littl known well suit app object studi aim develop test datadriven algorithm predict individu like benefit appbas medit train method use random control trial data compar week medit app healthi mind program hmp assessmentonli control condit school system employe n develop algorithm predict like benefit hmp baselin clinic demograph characterist submit machin learn model develop person advantag index pai reflect individu expect reduct distress primari outcom hmp versu control result signific group pai interact emerg p indic pai score moder group differ outcom regress model includ repetit neg think sole baselin predictor perform compar well final demonstr translat predict model person recommend expect benefit conclus overal result reveal potenti datadriven algorithm inform individu like benefit medit app algorithm could use object commun expect benefit individu allow make inform decis whether medit app appropri trial registr clinicaltrialsgov nct httpsclinicaltrialsgovctshownct,Negative
3,background human must abl cope huge amount inform produc inform technolog revolut result automat text summar employ rang industri assist individu identifi import inform text summar two approach mainli consid text summar extract abstract method extract summaris approach select chunk sentenc like sourc document abstract approach gener summari base mine keyword lowresourc languag eg urdu extract summar use variou model algorithm howev studi abstract summar urdu still challeng task mani literari work urdu produc abstract summari demand extens research methodolog articl propos deep learn model urdu languag use urdu million news dataset compar perform two wide use method base machin learn support vector machin svm logist regress lr result show suggest deep learn model perform better two approach summari produc extract summari process use encoderdecod paradigm creat abstract summari result help urdu languag specialist systemgener summari valid show propos model improv accuraci,Negative
4,grow number cloudbas servic led rise threat distribut denial servic ddo attack attack caus signific harm busi organ overwhelm network resourc result unavail critic servic tradit defens mechan firewal system becom insuffici cope scale complex ddo attack research propos new machin learn approach base ensembl learn detect ddo attack cloud environ propos method util variou featur extract network traffic train machin learn algorithm propos solut expect effect detect ddo attack realtim high accuraci,Negative
5,diffus gener model class machin learn techniqu shown remark promis materi scienc chemistri enabl precis gener complex molecular structur articl propos novel applic diffus gener model stabil reactiv molecular structur identifi quantum mechan screen specif focu design challeng present singlet fission sf phenomenon crucial advanc solar cell effici beyond theoret limit theoret chemistri success predict intermolecular arrang enhanc sf coupl practic implement configur face challeng due discrep favor stabil structur address gap introduc threestep strategi combin quantum mechan screen identifi optim molecular arrang diffus gener model predict stabil linker case studi cibalackrot dimer promis sf materi demonstr efficaci approach enhanc sf effici stabil desir molecular arrang,Negative
6,tradit machin learn model cannot effect identifi new network traffic data set result model failur therefor paper analyz problem current network intrus detect nid combin applic transfer theori detect model nid model base transfer compon analysi tca propos among specif mathemat deriv algorithm detect process transfer model introduc detail classif perform knn svm base tca algorithm network abnorm traffic compar result show tca algorithm propos paper effect improv accuraci nid meaning expand applic scope network abnorm traffic detect scheme base machin learn,Negative
7,tropic subtrop area malaria stand profound public health challeng caus estim million case worldwid annual given absenc viabl vaccin time effect treatment malaria remain critic prioriti howev grow resist parasit current util drug underscor critic need identif new antimalari therapi aim identifi potenti new drug candid plasmodium falciparum main caus agent malaria analyz transcriptom differ life stage parasit identifi highli express gene search gene express stage parasit life cycl includ asexu blood stage gametocyt stage liver stage sexual stage insect vector use transcriptom data publicli avail databas analysi found overlap gene includ essenti one search drug target databas discov potenti drug target associ bioactiv compound sought expand analysi similar compound known drug found list similar compound predict activ inact use previous develop machin learn model five life stage plasmodium spp analysi two compound select reaction experiment evalu compound hsp silvestrol aglycon show potent inhibitori activ nanomolar concentr p falciparum strain asexu blood stage moreov silvestrol aglycon exhibit low cytotox mammalian cell transmissionblock potenti inhibitori activ compar establish antimalari find warrant investig silvestrol aglycon potenti dualact antimalari transmissionblock candid malaria control,Positive
8,imag analysi techniqu appli adapt automat vehicl navig propos imagebas navig system made adapt follow select path embed curvetyp path network achiev three major capabl propos system path network learn refer path setup guid path navig first capabl enabl system extract relev inform given network map second collect alongpath refer data select path extract network inform guid path navig consecut path imag taken televis camera vehicl analyz navig control along path curv angular turn path cross control structur automat navig process model mooretyp sequenti machin automaton theori correct path navig ascertain verifi path cross encount road refer data imag match techniqu simul vehicl movement computercontrol pantilt also describ simul result show feasibl propos approach,Positive
9,recognit student behaviour class base video signific impact teacher qualiti student attent previous student behaviour recognit focus singl student low perform effici studi propos system detect student behaviour attent classroom use comput vision machin learn techniqu use webcam captur video student analys facial express eye movement determin whether pay attent also detect emot student final output propos system detect differ kind student behaviour classroom attent class drowsi emot student final provid rate staff,Negative
10,import provid algorithm tool expert abl analys explain black box learn model greatli acknowledg recent includ method open black box provid descript entir learn model method explain individu case simpliﬁc visual method achiev comprehens featur rank method teacherstud method seek creat simpler interpret surrog model within accept loss accuraci paper propos simpl efﬁcient method analys chosen featur may inﬂuenc outcom classiﬁ method produc curv reveal trend featur valu el equal thu complement featur rank method speciﬁc show help domain expert explor direct impact oppos scale predict featur valu chang trend averag valu chosen featur characteris wrt target outcom visual alongsid error band support assess signiﬁc method scalabl applic principl learn system domain differ decis tree rulebas approach offer visual featur valu trend use domain expert iter analysi understand learn system appli method call featur risk curv analysi real system use playtech plc protect onlin gambler system predict whether player may risk recommend break game curv prove insight discus sector expert understand modellevel driver particular featur toward gambl harm provid nuanc mainstream understand featur like nightplay declin deposit particular use error band around curv help u know dont know draw attent limit said singl featur player behaviour risk curv consum protect remain activ area research team plan extens list end paper,Negative
11,histor much machin learn research focus perform algorithm alon recent attent focus optim joint humanalgorithm perform analyz specif type humanalgorithm collabor algorithm access set n item present subset size k human select final item among k scenario could model content recommend rout plan type label task human algorithm imperfect noisi inform true order item key question valu k maxim probabl best item ultim select k perform optim algorithm act alon kn optim human act alon surprisingli show multipl nois model optim set k n strict benefit collabor even human algorithm equal accuraci separ demonstr theoret mallow model experiment random util model noisi permut howev show pattern revers human anchor algorithm present order joint system alway strictli wors perform extend result case human algorithm differ accuraci level show alway exist regim accur agent would strictli benefit collabor less accur one regim asymmetr human algorithm accuraci,Positive
12,heat capac among wellknown thermal properti cellulos biomass sampl studi assembl gener machin learn model estim heat capac cellulos biomass sampl differ origin combin uncertainti rank analys artifici intellig ai model seven differ categori confirm leastsquar support vector regress lssvr gaussian kernel function best estim model valid use laboratori heat capac four cellulos biomass sampl wide temperatur rang aard mse r data valid investig approv one experiment data outlier lssvr model consid effect crystallin temperatur sulfur ash content cellulos sampl heat capac lssvr improv achiev accuraci use empir correl,Positive
13,use data driven autom new gain lot attent recent widespread understand solut problem term fair nonbia classif differ law area artifici intellig becam magic word howev use histor data tricki job quit easili propag discrimin effici way thu work aim analys data legal proceed look evid relat occurr bia judg decisionmak process consid mainli gender social condit convict supervis unsupervis machin learn techniqu preced data analysi process procedur use explain find explicit data behaviour result point fragil techniqu identifi bias suggest need improv data preprocess search robust classif techniqu,Positive
14,end world health organ refer public health commiss hubei provinc china report case sever unknown pneumonia new coronaviru sarscov identifi respons lung infect call covid coronaviru diseas earli diagnosi carri viru becom crucial contain spread morbid mortal pandem definit diagnosi made specif test among imag test play import role achiev goal cannot separ radiolog examin chest xray easili avail least expens altern use xray chest radiograph element assist diagnosi allow follow diseas subject mani public adopt machin learn approach work focus adopt convolut neural network techniqu appli chest xray imag,Negative
15,biomateri develop creat materi desir properti timeconsum resourceintens process often reli serendipit discoveri potenti rout acceler process employ artifici intellig methodolog machin learn ml herein possibl predict antiinflammatori properti polym use simplifi model inflamm restrain dataset explor cellular assay differ polym conduct use murin macrophag cell line raw model experi gener dataset use develop ml model base bayesian logist regress conduct bayesian logist regress analysi two ml model knearest neighbor knn naïv bay employ predict antiinflammatori polym properti studi find probabl polym antiinflammatori properti multipli three polyc nitric oxid secret good indic determin antiinflammatori properti polym work defin tumor necrosi factor alpha express decreas overal studi suggest appropri dataset design ml techniqu provid valuabl inform function polym properti enabl faster effici biomateri develop,Negative
16,agricultur play central role effort fight poverti achiev econom growth especi relev subsaharan africa ssa major popul live rural area key issu gener believ unlock agricultur potenti recognit properti right land titl yet overwhelm empir evid support case ssa udri paper investig access market import precondit land titl result agricultur growth use case southern rhodesia investig whether land titl incentivis african largescal holder nativ purchas area npa put avail land cultiv counterpart overcrowd tribal trust area tta creat novel dataset appli support vector machin svm learn algorithm landsat imageri period period debat nexu land right agricultur product intensifi result indic land titl benefici farmer locat closer main citi main road rail station side,Positive
